input.source,input.name,input.ap,input.states,input.edges,input.transitions,input.acc_sets,input.scc,input.nondetstates,input.nondeterministic,input.alternating,tool,exit_status,exit_code,time,output.ap,output.states,output.edges,output.transitions,output.acc_sets,output.scc,output.nondetstates,output.nondeterministic,output.alternating,,
data/automatons/randaut.hoa:2608.1-2683.7,,3,24,43,43,0,1,2,1,0,cat %H | build/bin/nba2ldba | autfilt --deterministic --generic --small | sed s/Buchi/'parity min even 1'/g | sed s/all/'parity min even 0'/g > %O,ok,0,0.704856,3,28,55,55,1,3,0,0,0,0.0018614047,1670.3569
data/automatons/randaut.hoa:2684.1-2760.7,,3,24,44,44,0,1,3,1,0,cat %H | build/bin/nba2ldba | autfilt --deterministic --generic --small | sed s/Buchi/'parity min even 1'/g | sed s/all/'parity min even 0'/g > %O,ok,0,0.765101,3,26,47,47,1,2,0,0,0,0.0002924442,1837.8369
data/automatons/randaut.hoa:2761.1-2863.7,,2,29,65,65,0,1,9,1,0,cat %H | build/bin/nba2ldba | autfilt --deterministic --generic --small | sed s/Buchi/'parity min even 1'/g | sed s/all/'parity min even 0'/g > %O,ok,0,1.02659,2,155,440,444,1,2,0,0,0,0.0776123881,7418.3769
data/automatons/randaut.hoa:2864.1-2984.7,,4,36,76,76,0,1,4,1,0,cat %H | build/bin/nba2ldba | autfilt --deterministic --generic --small | sed s/Buchi/'parity min even 1'/g | sed s/all/'parity min even 0'/g > %O,ok,0,0.884521,4,40,85,87,1,2,0,0,0,0.0186379834,833.4769
data/automatons/randaut.hoa:2985.1-3028.7,,4,15,20,20,0,6,0,0,0,cat %H | build/bin/nba2ldba | autfilt --deterministic --generic --small | sed s/Buchi/'parity min even 1'/g | sed s/all/'parity min even 0'/g > %O,ok,0,0.769878,4,16,22,22,1,7,1,1,0,0.0004786469,2795.2369
data/automatons/randaut.hoa:3029.1-3048.7,,3,5,6,6,0,2,0,0,0,cat %H | build/bin/nba2ldba | autfilt --deterministic --generic --small | sed s/Buchi/'parity min even 1'/g | sed s/all/'parity min even 0'/g > %O,ok,0,0.714681,3,5,6,6,1,2,0,0,0,0.0011101558,4079.3769
data/automatons/randaut.hoa:3049.1-3175.7,,2,36,82,82,0,1,13,1,0,cat %H | build/bin/nba2ldba | autfilt --deterministic --generic --small | sed s/Buchi/'parity min even 1'/g | sed s/all/'parity min even 0'/g > %O,ok,0,1.06408,2,199,609,609,1,2,0,0,0,0.0999065664,16933.8169
data/automatons/randaut.hoa:3176.1-3203.7,,2,9,10,10,0,2,0,0,0,cat %H | build/bin/nba2ldba | autfilt --deterministic --generic --small | sed s/Buchi/'parity min even 1'/g | sed s/all/'parity min even 0'/g > %O,ok,0,0.791019,2,9,10,10,1,2,0,0,0,0.0018506344,3584.4169
data/automatons/randaut.hoa:3204.1-3218.7,,2,3,3,3,0,3,0,0,0,cat %H | build/bin/nba2ldba | autfilt --deterministic --generic --small | sed s/Buchi/'parity min even 1'/g | sed s/all/'parity min even 0'/g > %O,ok,0,0.77945,2,3,3,3,1,3,0,0,0,0.0009891025,4338.8569
data/automatons/randaut.hoa:3219.1-3308.7,,3,27,54,54,0,1,3,1,0,cat %H | build/bin/nba2ldba | autfilt --deterministic --generic --small | sed s/Buchi/'parity min even 1'/g | sed s/all/'parity min even 0'/g > %O,ok,0,0.804499,3,35,76,76,1,3,0,0,0,0.003192137,1147.1769
data/automatons/randaut.hoa:3309.1-3442.7,,2,38,87,87,0,2,15,1,0,cat %H | build/bin/nba2ldba | autfilt --deterministic --generic --small | sed s/Buchi/'parity min even 1'/g | sed s/all/'parity min even 0'/g > %O,ok,0,1.09979,2,182,552,552,1,2,0,0,0,0.1237562041,12798.3969
data/automatons/randaut.hoa:3443.1-3495.7,,2,15,29,29,0,1,3,1,0,cat %H | build/bin/nba2ldba | autfilt --deterministic --generic --small | sed s/Buchi/'parity min even 1'/g | sed s/all/'parity min even 0'/g > %O,ok,0,0.762097,2,19,39,39,1,2,1,1,0,0.0001987254,2487.0169
data/automatons/randaut.hoa:3496.1-3575.7,,3,24,47,47,0,3,2,1,0,cat %H | build/bin/nba2ldba | autfilt --deterministic --generic --small | sed s/Buchi/'parity min even 1'/g | sed s/all/'parity min even 0'/g > %O,ok,0,0.944568,3,42,76,76,1,5,6,1,0,0.0386389786,721.9969
data/automatons/randaut.hoa:3576.1-3608.7,,3,10,14,14,0,2,1,1,0,cat %H | build/bin/nba2ldba | autfilt --deterministic --generic --small | sed s/Buchi/'parity min even 1'/g | sed s/all/'parity min even 0'/g > %O,ok,0,0.889615,3,10,14,14,1,3,0,0,0,0.0200548082,3465.6769
data/automatons/randaut.hoa:3609.1-3691.7,,2,25,49,49,0,1,5,1,0,cat %H | build/bin/nba2ldba | autfilt --deterministic --generic --small | sed s/Buchi/'parity min even 1'/g | sed s/all/'parity min even 0'/g > %O,ok,0,0.880166,2,37,80,80,1,2,0,0,0,0.0174678516,1015.6969
data/automatons/randaut.hoa:3692.1-3775.7,,1,25,50,50,0,1,13,1,0,cat %H | build/bin/nba2ldba | autfilt --deterministic --generic --small | sed s/Buchi/'parity min even 1'/g | sed s/all/'parity min even 0'/g > %O,ok,0,1.21772,1,204,398,398,1,2,0,0,0,0.2206368784,18260.1169
data/automatons/randaut.hoa:3776.1-3818.7,,1,13,21,21,0,5,3,1,0,cat %H | build/bin/nba2ldba | autfilt --deterministic --generic --small | sed s/Buchi/'parity min even 1'/g | sed s/all/'parity min even 0'/g > %O,ok,0,0.734889,1,24,41,41,1,6,4,1,0,0.0001718983,2013.3169
data/automatons/randaut.hoa:3819.1-3884.7,,1,20,37,37,0,4,9,1,0,cat %H | build/bin/nba2ldba | autfilt --deterministic --generic --small | sed s/Buchi/'parity min even 1'/g | sed s/all/'parity min even 0'/g > %O,ok,0,1.27349,1,158,313,313,1,6,9,1,0,0.2761397401,7944.1569
data/automatons/randaut.hoa:3885.1-3976.7,,2,25,58,58,0,1,9,1,0,cat %H | build/bin/nba2ldba | autfilt --deterministic --generic --small | sed s/Buchi/'parity min even 1'/g | sed s/all/'parity min even 0'/g > %O,ok,0,0.836317,2,83,237,239,1,2,0,0,0,0.0077998925,199.6569
data/automatons/randaut.hoa:3977.1-4026.7,,2,14,27,27,0,1,2,1,0,cat %H | build/bin/nba2ldba | autfilt --deterministic --generic --small | sed s/Buchi/'parity min even 1'/g | sed s/all/'parity min even 0'/g > %O,ok,0,0.738267,2,23,52,52,1,2,1,1,0,9.47312889999998E-05,2104.0569
data/automatons/randaut.hoa:4027.1-4101.7,,1,23,43,43,0,2,9,1,0,cat %H | build/bin/nba2ldba | autfilt --deterministic --generic --small | sed s/Buchi/'parity min even 1'/g | sed s/all/'parity min even 0'/g > %O,ok,0,1.07644,1,153,284,284,1,2,0,0,0,0.1078728336,7077.8569
data/automatons/randaut.hoa:4102.1-4154.7,,2,15,29,29,0,1,3,1,0,cat %H | build/bin/nba2ldba | autfilt --deterministic --generic --small | sed s/Buchi/'parity min even 1'/g | sed s/all/'parity min even 0'/g > %O,ok,0,0.660024,2,19,39,39,1,2,1,1,0,0.0077397766,2487.0169
data/automatons/randaut.hoa:4155.1-4242.7,,3,24,55,55,0,1,6,1,0,cat %H | build/bin/nba2ldba | autfilt --deterministic --generic --small | sed s/Buchi/'parity min even 1'/g | sed s/all/'parity min even 0'/g > %O,ok,0,0.574458,3,33,88,89,1,2,0,0,0,0.0301168258,1286.6569
data/automatons/randaut.hoa:4243.1-4330.7,,2,24,55,55,0,1,8,1,0,cat %H | build/bin/nba2ldba | autfilt --deterministic --generic --small | sed s/Buchi/'parity min even 1'/g | sed s/all/'parity min even 0'/g > %O,ok,0,0.488444,2,67,196,196,1,2,1,1,0,0.0673693171,3.4969
data/automatons/randaut.hoa:4331.1-4354.7,,2,6,9,9,0,2,1,1,0,cat %H | build/bin/nba2ldba | autfilt --deterministic --generic --small | sed s/Buchi/'parity min even 1'/g | sed s/all/'parity min even 0'/g > %O,ok,0,0.444201,2,11,18,18,1,3,2,1,0,0.0922938324,3348.9369
data/automatons/randaut.hoa:4355.1-4388.7,,1,10,15,15,0,1,3,1,0,cat %H | build/bin/nba2ldba | autfilt --deterministic --generic --small | sed s/Buchi/'parity min even 1'/g | sed s/all/'parity min even 0'/g > %O,ok,0,0.465668,1,30,45,45,1,2,0,0,0,0.0797113582,1510.8769
data/automatons/randaut.hoa:4389.1-4406.7,,1,4,5,5,0,1,1,1,0,cat %H | build/bin/nba2ldba | autfilt --deterministic --generic --small | sed s/Buchi/'parity min even 1'/g | sed s/all/'parity min even 0'/g > %O,ok,0,0.541063,1,6,8,8,1,3,1,1,0,0.042822922,3952.6369
data/automatons/randaut.hoa:4407.1-4472.7,,2,19,38,38,0,1,6,1,0,cat %H | build/bin/nba2ldba | autfilt --deterministic --generic --small | sed s/Buchi/'parity min even 1'/g | sed s/all/'parity min even 0'/g > %O,ok,0,0.61491,2,30,77,77,1,2,0,0,0,0.0177129481,1510.8769
data/automatons/randaut.hoa:4473.1-4491.7,,1,4,6,6,0,2,1,1,0,cat %H | build/bin/nba2ldba | autfilt --deterministic --generic --small | sed s/Buchi/'parity min even 1'/g | sed s/all/'parity min even 0'/g > %O,ok,0,0.492993,1,6,9,9,1,2,0,0,0,0.06502857,3952.6369
data/automatons/randaut.hoa:4492.1-4521.7,,1,9,12,12,0,1,1,1,0,cat %H | build/bin/nba2ldba | autfilt --deterministic --generic --small | sed s/Buchi/'parity min even 1'/g | sed s/all/'parity min even 0'/g > %O,ok,0,0.411635,1,9,12,12,1,2,0,0,0,0.1131414132,3584.4169
data/automatons/randaut.hoa:4522.1-4575.7,,1,15,30,30,0,1,5,1,0,cat %H | build/bin/nba2ldba | autfilt --deterministic --generic --small | sed s/Buchi/'parity min even 1'/g | sed s/all/'parity min even 0'/g > %O,ok,0,0.467765,1,66,125,125,1,3,0,0,0,0.0785316552,8.2369
data/automatons/randaut.hoa:4576.1-4627.7,,2,12,31,31,0,1,5,1,0,cat %H | build/bin/nba2ldba | autfilt --deterministic --generic --small | sed s/Buchi/'parity min even 1'/g | sed s/all/'parity min even 0'/g > %O,ok,0,0.451907,2,57,189,193,1,2,1,1,0,0.0876710646,140.8969
data/automatons/randaut.hoa:4628.1-4649.7,,2,5,8,8,0,3,0,0,0,cat %H | build/bin/nba2ldba | autfilt --deterministic --generic --small | sed s/Buchi/'parity min even 1'/g | sed s/all/'parity min even 0'/g > %O,ok,0,0.526505,2,5,8,8,1,3,0,0,0,0.049060035,4079.3769
data/automatons/randaut.hoa:4650.1-4740.7,,1,20,62,62,0,1,16,1,0,cat %H | build/bin/nba2ldba | autfilt --deterministic --generic --small | sed s/Buchi/'parity min even 1'/g | sed s/all/'parity min even 0'/g > %O,ok,0,1.47661,1,211,432,436,1,173,17,1,0,0.5308725321,20200.9369
data/automatons/randaut.hoa:4741.1-4831.7,,2,20,62,62,0,1,11,1,0,cat %H | build/bin/nba2ldba | autfilt --deterministic --generic --small | sed s/Buchi/'parity min even 1'/g | sed s/all/'parity min even 0'/g > %O,ok,0,0.99905,2,234,856,857,1,5,3,1,0,0.0630261025,27267.9169
data/automatons/randaut.hoa:4832.1-4905.7,,2,17,48,48,0,2,9,1,0,cat %H | build/bin/nba2ldba | autfilt --deterministic --generic --small | sed s/Buchi/'parity min even 1'/g | sed s/all/'parity min even 0'/g > %O,ok,0,0.719723,2,162,588,593,1,2,1,1,0,0.0007995887,8673.1969
data/automatons/randaut.hoa:4906.1-4929.7,,3,6,9,9,0,3,0,0,0,cat %H | build/bin/nba2ldba | autfilt --deterministic --generic --small | sed s/Buchi/'parity min even 1'/g | sed s/all/'parity min even 0'/g > %O,ok,0,0.469963,3,10,16,16,1,4,1,1,0,0.0773045734,3465.6769
data/automatons/randaut.hoa:4930.1-4987.7,,1,13,36,36,0,1,9,1,0,cat %H | build/bin/nba2ldba | autfilt --deterministic --generic --small | sed s/Buchi/'parity min even 1'/g | sed s/all/'parity min even 0'/g > %O,ok,0,0.493389,1,68,135,135,1,4,1,1,0,0.0648267613,0.7569
data/automatons/randaut.hoa:4988.1-4998.7,,3,1,1,1,0,1,0,0,0,cat %H | build/bin/nba2ldba | autfilt --deterministic --generic --small | sed s/Buchi/'parity min even 1'/g | sed s/all/'parity min even 0'/g > %O,ok,0,0.385188,3,2,2,2,1,2,0,0,0,0.1316325473,4471.5969
data/automatons/randaut.hoa:4999.1-5031.7,,2,8,16,16,0,3,4,1,0,cat %H | build/bin/nba2ldba | autfilt --deterministic --generic --small | sed s/Buchi/'parity min even 1'/g | sed s/all/'parity min even 0'/g > %O,ok,0,0.401498,2,12,25,28,1,4,3,1,0,0.120063636,3234.1969
data/automatons/randaut.hoa:5032.1-5098.7,,1,16,42,42,0,1,13,1,0,cat %H | build/bin/nba2ldba | autfilt --deterministic --generic --small | sed s/Buchi/'parity min even 1'/g | sed s/all/'parity min even 0'/g > %O,ok,0,0.567963,1,91,184,184,1,9,5,1,0,0.0324133214,489.7369
,,,,,,,,,,,,,,0.7480293548,,68.8709677419,,,,,,,,0.2375931296,68.0326022177
